OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
3649,217001,44000,Los Angeles,Beverlywood,21700144000Beverlywood,841734.5137,4911.796872
3650,217001,44000,Los Angeles,Crestview,21700144000Crestview,5062819.821,10912.4537
3651,217002,44000,Los Angeles,Crestview,21700244000Crestview,8302448.536,11538.55276
3652,217101,44000,Los Angeles,Mid-city,21710144000Mid-city,4261583.916,9362.606889
3653,217102,44000,Los Angeles,Mid-city,21710244000Mid-city,5402497.224,9507.559862
3654,217200,44000,Los Angeles,Mid-city,21720044000Mid-city,9892697.252,15006.48765
3655,218110,44000,Los Angeles,Victoria Park,21811044000Victoria Park,6443253.563,12759.02953
3656,218120,44000,Los Angeles,Victoria Park,21812044000Victoria Park,4792162.825,8884.623958
3657,218210,44000,Los Angeles,St Elmo Village,21821044000St Elmo Village,4181507.106,8771.35434
3658,218220,44000,Los Angeles,Lafayette Square,21822044000Lafayette Square,7241556.125,11685.53232
3659,218300,44000,Los Angeles,Cloverdale/Cochran,21830044000Cloverdale/Cochran,9696383.749,17312.17046
3660,218400,44000,Los Angeles,Cloverdale/Cochran,21840044000Cloverdale/Cochran,7068182.205,12186.7855
3661,218500,44000,Los Angeles,Cloverdale/Cochran,21850044000Cloverdale/Cochran,5633812.853,11048.27262
3662,218600,44000,Los Angeles,Longwood,21860044000Longwood,4633675.254,8988.511525
3663,218701,44000,Los Angeles,Wellington Square,21870144000Wellington Square,5919087.265,10687.12916
3664,218702,44000,Los Angeles,Wellington Square,21870244000Wellington Square,3871496.438,10285.01717
3665,218800,44000,Los Angeles,West Adams,21880044000West Adams,4430818.659,9005.085337
3666,218900,44000,Los Angeles,West Adams,21890044000West Adams,7571286.965,11505.78918
3667,219010,44000,Los Angeles,Jefferson Park,21901044000Jefferson Park,4745471.477,9379.603796
3668,219020,44000,Los Angeles,Jefferson Park,21902044000Jefferson Park,7819938.34,11239.35383
3669,219300,44000,Los Angeles,Crenshaw District,21930044000Crenshaw District,7015861.32,11233.50961
3670,219500,44000,Los Angeles,Crenshaw District,21950044000Crenshaw District,6001830.588,10424.82107
3671,219700,44000,Los Angeles,Exposition,21970044000Exposition,9822055.365,13747.69734
3672,219700,44000,Los Angeles,Longwood,21970044000Longwood,1937476.529,7399.591872
3673,219800,44000,Los Angeles,Alsace,21980044000Alsace,4802061.726,9745.85961
3674,219901,44000,Los Angeles,Alsace,21990144000Alsace,5649831.271,10075.94694
3675,219902,44000,Los Angeles,Alsace,21990244000Alsace,6896340.013,11929.32285
3676,219902,44000,Los Angeles,Cloverdale/Cochran,21990244000Cloverdale/Cochran,1719610.738,6287.314479
3677,220000,44000,Los Angeles,Crenshaw District,22000044000Crenshaw District,10460271.4,12777.98227
3678,220100,44000,Los Angeles,Baldwin Hills,22010044000Baldwin Hills,10584607.86,16923.67842
3679,221110,44000,Los Angeles,Pico-Union,22111044000Pico-Union,2521263.682,6926.456433
3680,221120,44000,Los Angeles,Pico-Union,22112044000Pico-Union,3417439.373,7524.750126
