City,County,2018,2019,2020,2021,2022,Average
"EL CERRITO","CONTRA COSTA",24,40,36,34,38,34.4
SANGER,FRESNO,49,38,27,29,27,34.0
ARCATA,HUMBOLDT,36,43,30,22,39,34.0
SEBASTOPOL,SONOMA,44,51,32,30,11,33.6
CALIMESA,RIVERSIDE,37,25,16,36,51,33.0
PATTERSON,STANISLAUS,35,35,38,26,31,33.0
ANDERSON,SHASTA,21,22,36,52,33,32.8
PLACERVILLE,"EL DORADO",38,27,30,26,41,32.4
"HAWAIIAN GARDENS","LOS ANGELES",39,32,21,35,30,31.4
SONORA,TUOLUMNE,46,43,30,20,18,31.4
LIVINGSTON,MERCED,34,24,34,39,25,31.2
ARVIN,KERN,24,46,26,31,27,30.8
"SAN ANSELMO",MARIN,42,30,22,25,35,30.8
WASCO,KERN,23,30,29,35,33,30.0
LEMOORE,KINGS,53,39,19,18,19,29.6
"MILL VALLEY",MARIN,27,18,23,35,45,29.6
"GRASS VALLEY",NEVADA,32,33,38,23,21,29.4
"HALF MOON BAY","SAN MATEO",34,20,31,28,33,29.2
LINDSAY,TULARE,26,38,22,31,28,29.0
SONOMA,SONOMA,28,22,27,31,36,28.8
COTATI,SONOMA,35,38,21,25,24,28.6
"BIG BEAR LAKE","SAN BERNARDINO",34,29,26,33,18,28.0
"GROVER BEACH","SAN LUIS OBISPO",28,18,30,26,38,28.0
SAUSALITO,MARIN,44,31,26,17,15,26.6
"LOS ALTOS HILLS","SANTA CLARA",40,22,20,17,34,26.6
BRAWLEY,IMPERIAL,32,18,25,24,33,26.4
TAFT,KERN,30,24,25,31,21,26.2
HEALDSBURG,SONOMA,29,34,24,18,21,25.2
CALEXICO,IMPERIAL,81,41,1,0,1,24.8
"WESTLAKE VILLAGE","LOS ANGELES",25,26,22,20,31,24.8
ATHERTON,"SAN MATEO",38,39,17,10,17,24.2
KINGSBURG,FRESNO,21,18,28,36,17,24.0
"PACIFIC GROVE",MONTEREY,27,22,30,24,17,24.0
TEHACHAPI,KERN,13,33,23,21,26,23.2
OJAI,VENTURA,26,31,15,20,24,23.2
"INDIAN WELLS",RIVERSIDE,40,21,14,15,25,23.0
"CALIFORNIA CITY",KERN,23,14,23,35,11,21.2
CAPITOLA,"SANTA CRUZ",29,14,10,25,26,20.8
"FORT BRAGG",MENDOCINO,14,28,22,23,14,20.2
"LAGUNA WOODS",ORANGE,21,29,13,17,17,19.4
"DEL MAR","SAN DIEGO",24,27,16,14,16,19.4
"SCOTTS VALLEY","SANTA CRUZ",24,16,11,25,21,19.4
"RIO VISTA",SOLANO,25,23,15,15,17,19.0
ESCALON,"SAN JOAQUIN",17,22,20,16,19,18.8
"MORRO BAY","SAN LUIS OBISPO",19,15,14,25,19,18.4
SOLEDAD,MONTEREY,21,11,12,20,26,18.0
FORTUNA,HUMBOLDT,24,23,13,10,18,17.6
YREKA,SISKIYOU,29,23,17,10,7,17.2
"LIVE OAK",SUTTER,23,22,15,12,14,17.2
GREENFIELD,MONTEREY,15,14,19,18,18,16.8
"SAINT HELENA",NAPA,24,22,15,14,9,16.8
GRIDLEY,BUTTE,16,13,16,23,14,16.4
"PALOS VERDES EST","LOS ANGELES",15,6,9,22,24,15.2
"KING CITY",MONTEREY,8,10,7,26,25,15.2
LAKEPORT,LAKE,19,14,16,12,13,14.8
LOOMIS,PLACER,15,15,15,16,11,14.4
NEEDLES,"SAN BERNARDINO",9,20,10,16,15,14.0
PARLIER,FRESNO,13,16,18,14,8,13.8
FOWLER,FRESNO,22,21,6,10,8,13.4
FAIRFAX,MARIN,15,13,9,16,14,13.4
CHOWCHILLA,MADERA,26,16,6,7,11,13.2
BLYTHE,RIVERSIDE,7,16,13,17,10,12.6
NEWMAN,STANISLAUS,18,8,10,14,10,12.0
CALISTOGA,NAPA,12,16,9,10,11,11.6
FARMERSVILLE,TULARE,14,7,10,14,13,11.6
AVENAL,KINGS,14,13,12,10,7,11.2
CARMEL,MONTEREY,6,19,12,9,10,11.2
HILLSBOROUGH,"SAN MATEO",20,13,2,8,13,11.2
WHEATLAND,YUBA,3,14,15,10,13,11.0
MENDOTA,FRESNO,21,12,5,11,5,10.8
ORLAND,GLENN,12,11,9,16,6,10.8
JACKSON,AMADOR,16,8,5,13,10,10.4
"NEVADA CITY",NEVADA,19,14,5,8,5,10.2
PIEDMONT,ALAMEDA,15,6,7,11,11,10.0
MORAGA,"CONTRA COSTA",10,14,4,10,11,9.8
AVALON,"LOS ANGELES",0,11,7,13,18,9.8
"LA HABRA HEIGHTS","LOS ANGELES",10,12,11,8,8,9.8
SOLVANG,"SANTA BARBARA",10,13,10,10,6,9.8
COLUSA,COLUSA,12,15,8,8,5,9.6
"SIERRA MADRE","LOS ANGELES",12,12,1,5,18,9.6
CLOVERDALE,SONOMA,13,9,9,12,5,9.6
GONZALES,MONTEREY,9,9,6,14,9,9.4
BUELLTON,"SANTA BARBARA",10,9,4,12,10,9.0
HUGHSON,STANISLAUS,10,4,10,9,12,9.0
EXETER,TULARE,13,18,9,3,0,8.6
"CANYON LAKE",RIVERSIDE,11,7,6,11,7,8.4
"SUTTER CREEK",AMADOR,7,15,8,4,6,8.0
"ANGELS CAMP",CALAVERAS,6,5,9,10,9,7.8
"PORTOLA VALLEY","SAN MATEO",7,11,6,8,7,7.8
CLAYTON,"CONTRA COSTA",5,7,7,10,9,7.6
WINTERS,YOLO,9,3,9,6,9,7.2
COALINGA,FRESNO,13,12,4,5,0,6.8
SUSANVILLE,LASSEN,1,0,2,17,14,6.8
WATERFORD,STANISLAUS,6,5,4,10,9,6.8
KERMAN,FRESNO,27,4,0,0,1,6.4
WILLITS,MENDOCINO,4,8,6,7,6,6.2
GUADALUPE,"SANTA BARBARA",4,9,6,3,9,6.2
"MOUNT SHASTA",SISKIYOU,6,6,5,6,8,6.2
FIREBAUGH,FRESNO,10,9,6,1,4,6.0
WOODLAKE,TULARE,0,8,8,8,5,5.8
BISHOP,INYO,1,2,8,5,12,5.6
"SHASTA LAKE",SHASTA,2,4,6,7,8,5.4
WEED,SISKIYOU,7,7,0,6,5,5.0
WILLIAMS,COLUSA,11,5,2,1,5,4.8
COLFAX,PLACER,4,4,4,5,7,4.8
"VILLA PARK",ORANGE,3,7,3,6,4,4.6
IONE,AMADOR,5,5,6,5,0,4.2
"MAMMOTH LAKES",MONO,13,2,0,1,5,4.2
ROSS,MARIN,3,2,5,3,7,4.0
YOUNTVILLE,NAPA,3,4,7,3,3,4.0
GUSTINE,MERCED,4,0,0,0,15,3.8
TIBURON,MARIN,5,7,1,2,1,3.2
BROADMOOR,"SAN MATEO",0,2,8,5,1,3.2
ISLETON,SACRAMENTO,1,1,1,6,3,2.4
COLMA,"SAN MATEO",10,1,0,1,0,2.4
"MONTE SERENO","SANTA CLARA",1,0,2,7,2,2.4
"DOS PALOS",MERCED,0,1,0,6,3,2.0
"DEL REY OAKS",MONTEREY,0,1,0,3,6,2.0
